compound_name,GPCR_PME,relative_tmd_1,relative_tmd_2,relative_tmd_3,relative_tmd_4,relative_tmd_5,relative_tmd_6,relative_tmd_7,adjusted_tmd_delta_G_1,adjusted_tmd_delta_G_2,adjusted_tmd_delta_G_3,adjusted_tmd_delta_G_4,adjusted_tmd_delta_G_5,adjusted_tmd_delta_G_6,adjusted_tmd_delta_G_7,relative_N_terminal_loop_length,relative_downstream_loop_length_1,relative_upstream_loop_length_1,relative_downstream_loop_length_2,relative_upstream_loop_length_2,relative_downstream_loop_length_3,relative_upstream_loop_length_3,relative_C_terminal_loop_length,Molecular_Weight,Isoelectric_Point,Aromaticity,instability_index,gravy,sasa_total,sasa_crg,sasa_plr,sasa_aplr,f_crg,f_plr,f_aplr,alpha_helix,3_10_helix,extended_configuration,isolated_beta_bridge,turn,coil,CAI,Nc,GC3s,CpG_frame1_2,avgCU,CPS_sum,CPSpL,Global_tAI,tAI10Min,tAI10Max,tAI10q25.25.,tAI10q75.75.,avgCU_first20,avgCU_first10,avgCU_first5,GC,GC10min,GC10q25,GC10q75,GC10max,X40deltaG,X40freqens,plus10valRNAss,zeroto38avgRNAss,zeroto38minRNAss,zeroto38q25RNAss,zeroto38q75RNAss,zeroto38maxRNAss,deltaG,freqens,avgRNAss,minRNAss,q25RNAss,q75RNAss,maxRNAss
ENST00000312053,948.074748,0.0877193,0.07017544,0.0877193,0.08421053,0.0877193,0.08421053,0.08421053,-3.464017,-0.4644832,-3.3035398,1.50652533,-2.0653603,-0.2127496,0.55946656,0,0.02807018,0.05614035,0.04210526,0.06315789,0.06315789,0.0245614,0.13684211,97682.3363,6.422828865,0.09255079,48.08826185,0.024153499,57529.73526,17927.33453,17779.19038,21823.21036,0.311618582,0.309043494,0.379337924,0.316027088,0.02708804,0.22234763,0.00677201,0.274266366,0.153498871,0.186,54.89,0.476,0.021,0.548181404,153.7414625,0.070105546,0.363076,0.01707,0.778957,0.34174,0.492849,0.5845,0.501,0.352,0.490276512,0.1,0.433333333,0.566666667,0.766666667,-34.9,50.15,0.4210473,0.557799198,0.407381167,0.50570446,0.616352362,0.677270742,-2157,1565.65,0.622016241,0.000496,0.515766359,0.753260648,0.999432256
ENST00000304166,6416.52469,0.07961783,0.07324841,0.06369427,0.07961783,0.07324841,0.07961783,0.07324841,0.11513904,1.68102359,0.02960288,-0.4738298,-0.6068651,-1.1497104,0.43669214,0,0.00955414,0.11146497,0.01592357,0.07006369,0.03503185,0.02866242,0.20700637,53313.0326,5.495898628,0.143162393,46.11134615,0.220726496,32157.04092,9366.531802,8116.152362,14674.35676,0.29127468,0.252391145,0.456334176,0.611111111,0.014957265,0.049145299,0.00213675,0.16025641,0.162393162,0.172,55.68,0.583,0.037,0.59907767,83.72955389,0.135704301,0.432643,0.08824,0.732592,0.397671,0.518911,0.684,0.695,0.58,0.593851133,0.2,0.533333333,0.666666667,0.9,-62.6,21.2,0.854075388,0.713412482,0.565065976,0.655421108,0.796182402,0.881383203,-761.5,391.71,0.65696185,0.06388098,0.56604037,0.784799045,0.99931694
ENST00000520287,397.256645,0.06578947,0.05526316,0.05789474,0.06052632,0.06578947,0.06578947,0.04210526,-0.4708567,2.36937915,2.72679118,0.78710758,-4.5175422,-2.2667957,2.50380633,0.16578947,0.00789474,0.06842105,0.05,0.06842105,0.04473684,0.02631579,0.15526316,42644.7193,7.924663353,0.115789474,42.96736842,0.481578947,25506.47809,7062.06831,5195.446467,13248.96331,0.276873518,0.203691252,0.51943523,0.715789474,0.015789474,0.031578947,0,0.08947368,0.147368421,0.219,33.78,0.889,0.075,0.760622318,62.47515087,0.134355163,0.483732,0.171729,0.786206,0.438007,0.569924,0.778,0.681,0.574,0.73266619,0.266666667,0.666666667,0.8,0.933333333,-67.3,49.7,0.901062491,0.68708931,0.486144733,0.56890713,0.805374,0.983806892,-712.3,321.05,0.665389822,0.00792604,0.560348367,0.802480026,0.99872533
ENST00000379869,828.637423,0.06426735,0.06426735,0.06426735,0.05912596,0.06426735,0.05655527,0.06426735,-1.1882146,-2.5216477,-0.5857599,-0.4510041,-2.3260049,-1.4383847,-1.0468414,0,0.02570694,0.01028278,0.04113111,0.07455013,0.05398458,0.01028278,0.3470437,111591.2971,7.655666542,0.0806293,45.40011799,0.111897738,83201.99666,21012.636,28145.30899,34044.05167,0.25254966,0.338276846,0.409173494,0.343166175,0.00589971,0.14159292,0.00491642,0.135693215,0.368731563,0.185,51.63,0.475,0.01,0.565821256,22.52193272,0.054532525,0.408811,0.110841,0.685322,0.395229,0.493601,0.579,0.567,0.626,0.524154589,0.266666667,0.466666667,0.566666667,0.7,-24.4,40.18,0.687299575,0.591079243,0.399983193,0.490572797,0.678384713,0.739029678,-360.6,329.77,0.550989085,0.01171995,0.443153031,0.677950254,0.971162139
ENST00000379878,971.741682,0.06426735,0.06426735,0.06426735,0.05912596,0.06426735,0.05655527,0.06426735,-1.1882146,-2.5216477,-0.5857599,-0.4510041,-2.3260049,-1.4383847,-1.0468414,0,0.02570694,0.01028278,0.04113111,0.07455013,0.05398458,0.01028278,0.3470437,110047.578,7.42188778,0.08091908,45.5161039,0.10999001,82097.5449,21643.3772,27712.3891,32741.7786,0.26363002,0.33755442,0.39881556,0.33566434,0.01698302,0.14085914,0.00499501,0.14085914,0.36063936,0.176,52.34,0.426,0.013,0.537064974,87.45177833,0.065360073,0.346681,0.017208,0.76591,0.336115,0.477852,0.5695,0.588,0.604,0.46128952,0.03333333,0.366666667,0.533333333,0.733333333,-38.4,4.79,0.439549124,0.606029602,0.161749849,0.51312241,0.78612903,0.917623859,-1247.7,1013.09,0.59885025,0.00969929,0.485994825,0.74222592,0.999478556
ENST00000706533,130.289061,0.06738544,0.04851752,0.06469003,0.06469003,0.06469003,0.06469003,0.06199461,-0.8372967,0.82916707,-0.0994641,-0.3931852,-0.5659523,-0.0583747,-1.0805488,0,0.04312668,0.04043127,0.05121294,0.09703504,0.0296496,0.01347709,0.2884097,108319.069,8.49353237,0.09885536,44.3347763,-0.2238293,58523.8784,23561.2535,13724.5679,21238.057,0.40259214,0.23451228,0.36289558,0.433923,0.0239334,0.17793965,0.00520291,0.17898023,0.18002081,0.296,45.11,0.646,0.028,0.683298663,58.40632068,0.086914168,0.454712,0.133095,0.742742,0.402477,0.550576,0.5655,0.533,0.524,0.55198,0.333333333,0.5,0.6,0.833333333,-44.1,16.68,0.703591627,0.743011187,0.583306104,0.653927524,0.8503773,0.89260334,-615.3,475.13,0.54710513,0.01345602,0.413224686,0.691789908,0.997876865
ENST00000259455,6209.56955,0.05183585,0.0475162,0.05399568,0.04967603,0.05399568,0.05399568,0.04967603,-2.0182753,1.03448934,0.5932241,-1.703164,-0.2211872,0.52995354,-2.5254351,0,0.03239741,0.02591793,0.04103672,0.07775378,0.02159827,0.00863931,0.43196544,105820.244,8.89046421,0.09032944,45.0528268,-0.1497343,64137.5487,20761.8619,17338.3485,26037.3383,0.32370838,0.2703307,0.40596092,0.47927736,0.00956429,0.12433581,0,0.15409139,0.23273114,0.226,38.08,0.86,0.075,0.731694915,55.008273,0.133515226,0.43768,0.166088,0.758786,0.37987,0.520976,0.8055,0.857,0.812,0.668280872,0.333333333,0.6,0.766666667,0.9,-63.8,50.84,0.474075583,0.668483077,0.459792753,0.57549976,0.755153738,0.874292187,-572.9,354.28,0.651737838,0.00044167,0.517528374,0.797375949,0.99933237
ENST00000310357,158.00783,0.0748503,0.06586826,0.0748503,0.0748503,0.06886228,0.07185629,0.06586826,-5.2944135,0.43521517,0.68509379,-2.472729,-3.1451654,-2.1608212,1.32616673,0,0.03592814,0.03592814,0.03592814,0.06886228,0.03293413,0.00898204,0.28443114,104752.187,8.29316463,0.11231102,47.0582073,0.22678186,51689.6652,15525.558,15944.778,20219.3293,0.30036097,0.30847129,0.39116773,0.47084233,0.02915767,0.14362851,0.00539957,0.1587473,0.19222462,0.172,47.96,0.318,0.005,0.480633947,103.1037152,0.070329956,0.303321,0.008799,0.76396,0.177487,0.483013,0.4885,0.533,0.394,0.345297592,0.06666667,0.266666667,0.433333333,0.7,-32.8,6.42,0.128925797,0.446251728,0.01065208,0.262587972,0.647757964,0.794064086,-996.5,1054.4,0.560938007,0.00559068,0.436742247,0.693834396,0.995932475
ENST00000379214,5445.55737,0.06082725,0.05596107,0.05839416,0.05839416,0.06082725,0.06082725,0.05839416,-4.1567563,0.4508008,0.65731032,-0.3092306,-2.1856535,-0.8844125,1.6573131,0,0.02189781,0.0486618,0.04136253,0.05109489,0.0486618,0.01703163,0.35766423,104473.902,5.77872944,0.09674027,43.2226288,0.16119874,61605.3406,18347.2199,18941.7244,24316.3964,0.29781866,0.30746887,0.39471247,0.26077813,0.01892745,0.08622503,0.0042061,0.31230284,0.31756046,0.2,53.87,0.402,0.031,0.546904232,21.14428545,0.047197066,0.41922,0.137064,0.664367,0.395821,0.507951,0.6105,0.647,0.614,0.520416,0.333333333,0.466666667,0.566666667,0.766666667,-26.6,28.68,0.585991084,0.516029988,0.201923757,0.409537498,0.644568856,0.78079971,-431.8,325.61,0.607049181,0.10167018,0.49973901,0.72786866,0.99456129
ENST00000367278,479.14685,0.06188119,0.05940594,0.06188119,0.05940594,0.06188119,0.06188119,0.05940594,-2.4629226,2.389394,0.52815895,-0.5447151,-1.1181742,-0.2181999,0.51899324,0,0.03465347,0.03217822,0.04455446,0.05693069,0.05445545,0.01237624,0.33910891,104297.056,5.43047695,0.07549121,48.328759,0.16907963,63503.0571,19972.6265,14316.1839,29214.2468,0.31451441,0.22544086,0.46004473,0.25853154,0.0196484,0.08790072,0.00827301,0.32471562,0.30093071,0.154,57.33,0.524,0.065,0.558992674,170.3226557,0.156116091,0.402807,0.035689,0.786627,0.370998,0.511438,0.671,0.524,0.47,0.583765639,0.1,0.466666667,0.7,0.9,-64.6,6.27,0.626769917,0.37353926,0.02813805,0.199814826,0.524967518,0.70662198,-1358.9,1125.64,0.640481446,0.02813805,0.526288436,0.789873186,0.999895828
